tconst,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt7392212,Rangasthalam 1985,0,2018,170,"Action,Drama",8.2,26776
tt7466810,777 Charlie,0,2022,164,"Adventure,Comedy,Drama",8.8,37298
tt7653254,Marriage Story,0,2019,137,"Drama,Romance",7.9,334656
tt7713068,Birds of Prey,0,2020,109,"Action,Comedy,Crime",6.1,257544
tt7784604,Hereditary,0,2018,127,"Drama,Horror,Mystery",7.3,359492
tt7838252,K.G.F: Chapter 1,0,2018,154,"Action,Crime,Drama",8.2,94686
tt7846844,Enola Holmes,0,2020,123,"Action,Adventure,Crime",6.6,210986
tt7888964,Nobody,0,2021,92,"Action,Crime,Drama",7.4,308137
tt7975244,Jumanji: The Next Level,0,2019,123,"Action,Adventure,Comedy",6.7,272104
tt7984734,The Lighthouse,0,2019,109,"Drama,Fantasy,Horror",7.4,242028
tt7991608,Red Notice,0,2021,118,"Action,Comedy,Thriller",6.3,302490
tt8108198,Andhadhun,0,2018,139,"Crime,Mystery,Thriller",8.2,99535
tt8228288,The Platform,0,2019,94,"Horror,Sci-Fi,Thriller",7.0,258502
tt8239946,Tumbbad,0,2018,104,"Drama,Fantasy,Horror",8.2,55994
tt8267604,Capernaum,0,2018,126,Drama,8.4,100202
tt8291224,Uri: The Surgical Strike,0,2019,138,"Action,Drama,History",8.2,69568
tt8332922,A Quiet Place Part II,0,2020,97,"Drama,Horror,Sci-Fi",7.2,261232
tt8367814,The Gentlemen,0,2019,113,"Action,Crime",7.8,374036
tt8503618,Hamilton,0,2020,160,"Biography,Drama,History",8.3,107386
tt8579674,1917,0,2019,119,"Action,Drama,War",8.2,647172
tt8613070,Portrait of a Lady on Fire,0,2019,122,"Drama,Romance",8.1,103776
tt8633462,"Quo Vadis, Aida?",0,2020,101,"Drama,History,War",8.0,37033
tt8772262,Midsommar,0,2019,148,"Drama,Horror,Mystery",7.1,375878
tt8936646,Extraction,0,2020,116,"Action,Thriller",6.8,253155
tt8946378,Knives Out,0,2019,130,"Comedy,Crime,Drama",7.9,745213
tt9032400,Eternals,0,2021,156,"Action,Adventure,Fantasy",6.3,371875
tt9052870,Chhichhore,0,2019,143,"Comedy,Drama,Romance",8.3,60450
tt9114286,Black Panther: Wakanda Forever,0,2022,161,"Action,Adventure,Drama",6.7,288626
tt9179430,Vikram,0,2022,175,"Action,Crime,Thriller",8.3,69035
tt9243946,El Camino: A Breaking Bad Movie,0,2019,122,"Action,Crime,Drama",7.3,279981
tt9263550,Rocketry: The Nambi Effect,0,2022,157,"Biography,Drama",8.7,55896
tt9362722,Spider-Man: Across the Spider-Verse,0,2023,140,"Action,Adventure,Animation",8.7,284771
tt9376612,Shang-Chi and the Legend of the Ten Rings,0,2021,132,"Action,Adventure,Fantasy",7.4,418424
tt9419884,Doctor Strange in the Multiverse of Madness,0,2022,126,"Action,Adventure,Fantasy",6.9,457488
tt9477520,Asuran,0,2019,141,"Action,Drama",8.4,32362
tt9620292,Promising Young Woman,0,2020,113,"Crime,Drama,Mystery",7.5,198087
tt9764362,The Menu,0,2022,107,"Comedy,Horror,Thriller",7.2,358259
tt9777666,The Tomorrow War,0,2021,138,"Action,Adventure,Drama",6.6,220313
tt9900782,Kaithi,0,2019,145,"Action,Adventure,Crime",8.4,39422
