tconst,averageRating,numVotes
tt1798709,8.0,650872
tt1800241,7.2,494588
tt1815862,4.8,206843
tt1817273,7.3,284218
tt1821480,8.1,64733
tt1823672,6.8,264649
tt1825683,7.3,818733
tt1832382,8.3,253840
tt1840309,6.6,478946
tt1843866,7.8,882573
tt1853728,8.5,1645118
tt1855199,7.6,262561
tt1856101,8.0,629621
tt1865505,8.0,61838
tt1872181,6.6,525231
tt1872194,7.4,198691
tt1877830,7.8,740119
tt1877832,7.9,734150
tt1895587,8.1,491632
tt1899353,7.6,213529
tt1905041,7.0,410525
tt1907668,7.3,369668
tt1922777,6.8,272270
tt1931533,7.1,269795
tt1950186,8.1,441814
tt1951261,5.8,329139
tt1951264,7.5,695940
tt1951265,6.6,482121
tt1951266,6.5,353042
tt1954470,8.2,101303
tt1959490,5.8,263218
tt1959563,6.9,242136
tt1972591,6.7,227595
tt1979320,8.1,501962
tt1979376,7.7,270772
tt1980209,6.4,226107
tt1981115,6.8,711670
tt1981677,7.1,323767
tt2004420,6.3,323884
tt2005151,7.1,242166
tt2015381,8.0,1248494
tt2024469,6.9,273737
tt2024544,8.1,727806
tt2082197,8.1,85198
tt2084970,8.0,806625
tt20850406,8.6,63815
tt2094766,5.6,205856
tt2096673,8.1,758820
tt2103281,7.6,458318
tt2106476,8.3,352443
tt2109248,5.6,327500
tt2119532,8.1,572104
tt2126355,6.1,251295
tt2140203,8.1,48007
tt2140479,7.3,311089
tt2179136,7.3,516430
tt2184339,5.7,235521
tt2194499,7.8,374040
tt2209764,6.2,236271
tt2229499,6.5,244969
tt2234155,6.3,212285
tt2245084,7.8,488358
tt2250912,7.4,699375
tt2267998,8.1,1036278
tt2277860,7.2,294569
tt2278388,8.1,863314
tt2283362,6.9,407801
tt2283748,8.1,63616
tt2293640,6.4,252568
tt2294449,7.0,397133
tt2294629,7.4,649958
tt2302755,6.5,287869
tt2310332,7.4,558021
tt2316204,6.4,295568
tt2316411,6.9,207887
tt2321549,6.8,241087
tt2322441,4.2,330546
tt2334873,7.3,210129
tt2334879,6.3,232559
tt2338151,8.1,196662
tt2345759,5.4,200761
tt2356180,8.2,70951
tt2361509,7.1,267327
tt2377938,8.0,58195
tt2379713,6.8,457876
tt2380307,8.4,561271
tt2381249,7.4,401986
tt2381941,6.6,267115
tt2382320,7.3,431414
tt2395427,7.3,903195
tt2397535,7.4,296010
tt2404435,6.9,223762
tt2406566,6.7,202907
tt2446042,6.0,200907
tt2463208,6.7,221794
tt2488496,7.8,959646
tt2527336,6.9,659123
tt2527338,6.4,479510
tt2543164,7.9,741880
tt2543472,7.9,174067
tt2562232,7.7,654627
tt2576852,8.0,51520
tt2582782,7.6,244973
tt2582802,8.5,940625
tt2582846,7.7,393942
tt2584384,7.9,424673
tt2631186,8.0,132770
tt2637276,6.3,225263
tt2660888,7.0,254981
tt2674426,7.4,276396
tt2704998,6.9,250046
tt2709768,6.5,212663
tt2713180,7.6,527731
tt2719848,7.1,227259
tt2737304,6.6,374317
tt2758880,8.1,54253
tt2771200,7.1,326895
tt2788710,6.5,346860
tt2798920,6.8,350803
tt2802144,7.7,700086
tt2820852,7.1,408095
tt2872718,7.8,586369
tt2872732,6.4,522022
tt2883512,7.3,226360
tt2908446,6.2,249522
tt2911666,7.4,717927
tt2935510,6.5,253938
tt2948356,8.0,529869
tt2948372,8.0,360612
tt2953050,7.2,248183
tt2975590,6.5,741923
tt2980516,7.7,472403
tt2991224,8.1,48126
tt3011894,8.1,210673
tt3040964,7.4,287603
tt3065204,7.3,292523
tt3076658,7.6,304233
tt3079380,7.0,254525
tt3110958,6.4,311679
tt3170832,8.1,440438
tt3183660,7.2,496868
tt3228774,7.3,254824
tt3235888,6.8,260849
tt3263904,7.4,290866
tt3281548,7.8,230911
tt3315342,8.1,808106
