tconst,ordering,nconst,category,job,characters
tt0017136,4,nm0459030,actor,\N,"[""Erfinder C.A. Rotwang"",""The Inventor""]"
tt0017136,5,nm0000485,director,\N,\N
tt0017136,6,nm0902376,writer,screenplay,\N
tt0017136,7,nm0690143,producer,producer,\N
tt0017136,8,nm3017782,composer,\N,\N
tt0017136,9,nm0923118,composer,\N,\N
tt0017925,10,nm1193626,composer,\N,\N
tt0017925,1,nm0000036,actor,\N,"[""Johnnie Gray""]"
tt0017925,2,nm0533045,actress,\N,"[""Annabelle Lee""]"
tt0017925,3,nm0147070,actor,\N,"[""Captain Anderson""]"
tt0017925,4,nm0267650,actor,\N,"[""General Thatcher""]"
tt0017925,5,nm0115669,director,\N,\N
tt0017925,6,nm0090213,writer,adapted by,\N
tt0017925,7,nm0807667,writer,adapted by,\N
tt0017925,8,nm0685904,writer,"book ""Daring and Suffering: a History of the Great Railroad Adventure""",\N
tt0017925,9,nm0809548,writer,\N,\N
tt0018455,10,nm0003546,cinematographer,\N,\N
tt0018455,1,nm0639563,actor,\N,"[""The Man""]"
tt0018455,2,nm0310980,actress,\N,"[""The Wife""]"
tt0018455,3,nm0515272,actress,\N,"[""The Woman From the City""]"
tt0018455,4,nm0743017,actress,\N,"[""The Maid""]"
tt0018455,5,nm0003638,director,\N,\N
tt0018455,6,nm0562346,writer,scenario,\N
tt0018455,7,nm0837183,writer,from an original theme by,\N
tt0018455,8,nm0385012,writer,titles,\N
tt0018455,9,nm0129721,writer,titles,\N
tt0018773,10,nm0614730,actor,\N,"[""A Pickpocket""]"
tt0018773,1,nm0000122,actor,\N,"[""A Tramp""]"
tt0018773,2,nm0448224,actress,\N,"[""The Proprietor's Step-Daughter Merna - A Circus Rider""]"
tt0018773,3,nm0305087,actor,\N,"[""The Circus Proprietor and Ring Master""]"
tt0018773,4,nm0188357,actor,\N,"[""Rex - A Tight Rope Walker""]"
tt0018773,5,nm0005906,cinematographer,\N,\N
tt0018773,6,nm0204639,actor,\N,"[""A Magician""]"
tt0018773,7,nm0074788,actor,\N,"[""An Old Clown""]"
tt0018773,8,nm0761866,actor,\N,"[""The Head Property Man""]"
tt0018773,9,nm0709466,actor,\N,"[""An Assistant Property Man""]"
tt0019254,1,nm0266029,actress,\N,"[""Jeanne d'Arc""]"
tt0019254,2,nm0798564,actor,\N,"[""Évêque Pierre Cauchon (Bishop Pierre Cauchon)""]"
tt0019254,3,nm0075551,actor,\N,"[""Jean d'Estivet""]"
tt0019254,4,nm0776914,actor,\N,"[""Nicolas Loyseleur""]"
tt0019254,5,nm0003433,director,\N,\N
tt0019254,6,nm0217865,writer,writer,\N
tt0019254,7,nm1224245,composer,\N,\N
tt0019254,8,nm0773138,composer,\N,\N
tt0019254,9,nm0005789,cinematographer,\N,\N
tt0020629,10,nm0837989,writer,supervising story chief,\N
tt0020629,1,nm0000817,actor,\N,"[""Paul""]"
tt0020629,2,nm0938464,actor,\N,"[""Kat""]"
tt0020629,3,nm0942046,actor,\N,"[""Himmelstoss""]"
tt0020629,4,nm0524803,actor,\N,"[""Kantorek""]"
tt0020629,5,nm0587277,director,\N,\N
tt0020629,6,nm0718871,writer,novel,\N
tt0020629,7,nm0027173,writer,adaptation & dialogue,\N
tt0020629,8,nm0007973,writer,screen play,\N
tt0020629,9,nm0028636,writer,adaptation,\N
tt0021749,1,nm0000122,actor,\N,"[""A Tramp""]"
tt0021749,2,nm0156039,actress,\N,"[""A Blind Girl""]"
tt0021749,3,nm5681967,actress,\N,"[""The Blind Girl's Grandmother""]"
tt0021749,4,nm0616729,actor,\N,"[""An Eccentric Millionaire""]"
tt0021749,5,nm0139714,writer,\N,\N
tt0021749,6,nm0188357,writer,\N,\N
tt0021749,7,nm0689661,cinematographer,\N,\N
tt0021749,8,nm0005906,cinematographer,\N,\N
tt0022100,1,nm0000048,actor,\N,"[""Hans Beckert""]"
tt0022100,2,nm0927145,actress,\N,"[""Frau Beckmann""]"
tt0022100,3,nm0484737,actress,\N,"[""Elsie Beckmann""]"
tt0022100,4,nm0921532,actor,\N,"[""Inspector Karl Lohmann""]"
tt0022100,5,nm0000485,director,\N,\N
tt0022100,6,nm0902376,writer,script,\N
tt0022100,7,nm0414825,writer,article,\N
tt0022100,8,nm0005922,cinematographer,\N,\N
tt0022100,9,nm0266239,editor,\N,\N
tt0025316,10,nm0858977,actor,\N,"[""King Westley""]"
tt0025316,1,nm0000022,actor,\N,"[""Peter Warne""]"
tt0025316,2,nm0001055,actress,\N,"[""Ellie Andrews""]"
